wallet,role,token_outcome_norm,notional_usd,trade_count
0x40cfb29411d29f4fa0908f2a121297042cccd21d,taker,NO,577.38566,1
0x4120e03758ae4bcb1d50ee7fc33817c335f02319,taker,NO,675.193798,1
0x4128be7113dbca57dd75e7cd2cd508dd9feddc3c,maker,YES,11919.03597,3
0x4128be7113dbca57dd75e7cd2cd508dd9feddc3c,taker,NO,1684.0992,1
0x4128be7113dbca57dd75e7cd2cd508dd9feddc3c,taker,YES,1279.056,1
0x4133f8ff4b624c1d1b4ddfbf1da803c1e0d4ea5d,maker,NO,21396.87445,6
0x4133f8ff4b624c1d1b4ddfbf1da803c1e0d4ea5d,taker,NO,10934.484980000001,7
0x41e8266341517750bec28829015b5289fe00b994,maker,NO,999.999998,1
0x41ebcc125403accb895359c38c93417ddf66da1d,maker,NO,709.0,1
0x423a33e1e0eb6ac6fa205343e4df8b122c8d80f8,taker,NO,538.7215,1
0x42952215f4ed177bb1b6203e0dfb78dcfffec4c9,maker,YES,1111.41464,1
0x42952215f4ed177bb1b6203e0dfb78dcfffec4c9,taker,NO,3314.37656,1
0x42f96ef84df7465345a0318a1da40116236738d5,maker,NO,1995.989998,1
0x42f96ef84df7465345a0318a1da40116236738d5,taker,YES,1005.498721,1
0x436f969d99c90191fbc2c629e6b7a1b754402c7f,maker,NO,19055.194377,6
0x436f969d99c90191fbc2c629e6b7a1b754402c7f,taker,NO,9328.885817,4
0x4386ce4724b9d1bcba35928ecff1bce81bb6e629,maker,YES,682.2721,1
0x4386ce4724b9d1bcba35928ecff1bce81bb6e629,taker,NO,3709.293532,4
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,maker,NO,22796.67829,3
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,taker,NO,2700.41592,1
0x452c4c45925678f567211490f9bf0aad18e5340f,maker,NO,622.26496,1
0x45e856f0023259664606b6c370e82d072b24cc6c,maker,NO,1112.391,2
0x46adc75e0bad99afcb046d4cb7840b9d28a68e53,taker,NO,597.70525,1
0x473db4d165557e06fc9074c9d884a44efdabcaab,maker,NO,999.999997,1
0x477f156a229f1a174fdf945c778b7362dd2b19aa,maker,NO,1918.1445800000001,2
0x477f156a229f1a174fdf945c778b7362dd2b19aa,taker,YES,670.0,1
0x47a51f21d7424d62259479f4abe98f4443946834,maker,NO,929.6,1
0x47a51f21d7424d62259479f4abe98f4443946834,taker,NO,929.6,1
0x47ab026767cc320ac6e62f6ec747d59cf4d795df,maker,NO,6997.16472,6
0x47ab026767cc320ac6e62f6ec747d59cf4d795df,taker,NO,1407.0,1
0x48283c3b82a5ae4eac42550b312fd8e89abbddd9,taker,NO,653.718,1
0x4849f592071d96b213009263bc09f0fd393b74c2,maker,NO,1014.049999,1
0x491d9291d49322840b1117fd02902326963af42b,maker,NO,4245.72227,3
0x491d9291d49322840b1117fd02902326963af42b,taker,NO,839.072,1
0x4a2be7a7e6e3b41dc2de00706b4c09660ca9af20,maker,NO,11521.58968,7
0x4a2be7a7e6e3b41dc2de00706b4c09660ca9af20,maker,YES,4990.191479,7
0x4a2be7a7e6e3b41dc2de00706b4c09660ca9af20,taker,NO,3776.0,1
0x4a98b71878d80069b0b56574e73c2170d6423113,maker,NO,897.0,1
0x4aa2661df2285ad3e17f4267c3469785d7ef3170,maker,NO,28008.31725,3
0x4aa2661df2285ad3e17f4267c3469785d7ef3170,taker,NO,3818.217,2
0x4aa2661df2285ad3e17f4267c3469785d7ef3170,taker,YES,7115.23911,4
0x4b0faae6ca319b6f45644d2454b838edd57c38e7,taker,NO,665.0875,1
0x4b7410aefbf0f38012b0dfb1131a4de147a9e8d7,maker,NO,2532.54648,2
0x4b7410aefbf0f38012b0dfb1131a4de147a9e8d7,taker,NO,528.0,1
0x4b8c8f25a0ab91aa2bffe45de975f16fde2f9e5d,taker,NO,754.55808,1
0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,taker,NO,1471161.623644,578
0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,taker,YES,659003.043668,327
0x4c2da46b289847e3e8377c6f4ca3d520c620f8ae,maker,NO,9823.82987,10
0x4c2da46b289847e3e8377c6f4ca3d520c620f8ae,maker,YES,1344.40053,2
0x4c2da46b289847e3e8377c6f4ca3d520c620f8ae,taker,YES,1095.99648,2
0x4c380b97e5bedbb717a47781b5283d40ac6e91b7,maker,NO,3606.5170900000003,4
0x4c3e6e95c99a866a9c9c4c2417aeadb43be88af2,maker,NO,5404.586179,4
0x4c418ee504704cab2fac611ec1fde1041b90d286,maker,NO,6978.449998,1
0x4c418ee504704cab2fac611ec1fde1041b90d286,taker,YES,1284.41453,1
0x4cc25002e1b5d09c1dab0d26dbe2333648829271,maker,YES,10192.489678999998,2
0x4cc25002e1b5d09c1dab0d26dbe2333648829271,taker,NO,3964.7765,2
0x4cc25002e1b5d09c1dab0d26dbe2333648829271,taker,YES,6059.807580000001,3
0x4de48d7a764d686e60fc06a38fab600efa2c9d4d,maker,NO,895.13,1
0x4de48d7a764d686e60fc06a38fab600efa2c9d4d,taker,NO,775.13,1
0x4e25605fd905e9972efc0f4d8814530c655cd7a7,maker,NO,17399.52,10
0x4e450c1e2a208e366097cbb0d7c70f0094006f64,maker,NO,3952.87568,3
0x4e450c1e2a208e366097cbb0d7c70f0094006f64,taker,NO,828.39606,1
0x4e450c1e2a208e366097cbb0d7c70f0094006f64,taker,YES,567.6896,1
0x4e4a7bc21408c206239905923b1714c374b78189,taker,NO,3047.656977,3
0x4ea67bdde5af4942a2c8f117730064cbe04ab249,maker,YES,2653.140669,2
0x4ea67bdde5af4942a2c8f117730064cbe04ab249,taker,NO,3345.2231730000003,2
0x4ef6c4b7a0ec0c71ae0a72a2e1d80754cec320dc,maker,YES,1099.999999,1
0x4f30ce317ec89c090dceb6987235ad7bfabe12c3,maker,YES,666.0,1
0x5188fa0e8a77e87bc6a58e6781fdfc4e165cc804,maker,NO,29043.185,3
0x53e55bc7cb3d67ad177c023ce891ad076a9d6177,maker,YES,9784.763394000001,3
0x53e55bc7cb3d67ad177c023ce891ad076a9d6177,taker,YES,4070.88984,1
0x54a78f8c6e64572111c5683a9efeed25a04c881b,maker,NO,1592.3833599999998,2
0x54b56146656e7eef9da02b3a030c18e06e924b31,maker,NO,7940.578557,10
0x54b56146656e7eef9da02b3a030c18e06e924b31,maker,YES,8713.58779,9
0x54b56146656e7eef9da02b3a030c18e06e924b31,taker,NO,5629.79851,5
0x54b56146656e7eef9da02b3a030c18e06e924b31,taker,YES,2264.71141,1
0x54c0fc9027cf8ceb6c90880e8182560bb58feafc,taker,NO,634.76352,1
0x560259988aa71630f4f7cc702008602391e41480,maker,NO,22473.068777,15
0x560259988aa71630f4f7cc702008602391e41480,taker,NO,10601.78367,4
0x57cc0ba8ed5ffc0a42cfeddb8cd4ddc528c39f51,maker,NO,730.789,1
0x57cc0ba8ed5ffc0a42cfeddb8cd4ddc528c39f51,taker,NO,706.914,1
0x5823a87faccc566579cf88cc89ffe50eb54d673f,maker,NO,42224.863620000004,2
0x5823a87faccc566579cf88cc89ffe50eb54d673f,taker,NO,21652.0,8
0x5823a87faccc566579cf88cc89ffe50eb54d673f,taker,YES,2709.29867,3
0x588dee49e611cdb2617fb9211945d4f7f7160698,maker,YES,1483.955,1
0x588dee49e611cdb2617fb9211945d4f7f7160698,taker,NO,1103.41764,1
0x58aa47a2e3e0396f8c09259d87990db12e56a481,maker,NO,2954.37933,1
0x58df4f5d434f7390349e6272a1eecf761992b4ad,maker,YES,10692.0949,1
0x58df4f5d434f7390349e6272a1eecf761992b4ad,taker,NO,4445.19445,3
0x58df4f5d434f7390349e6272a1eecf761992b4ad,taker,YES,7402.93863,3
0x59432fa8141b0ddf25f64c9fc90cdb5672402ef2,maker,NO,627.97,1
